"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2025","12,288.18","12,385.77","12,385.77","12,288.18","455.18K","-0.78%"
"10/02/2025","12,385.37","12,421.95","12,441.85","12,361.02","356.23K","-0.29%"
"10/01/2025","12,421.79","12,404.27","12,432.32","12,376.48","482.83K","0.14%"
"09/30/2025","12,404.27","12,440.76","12,460.94","12,372.78","590.24K","-0.29%"
"09/29/2025","12,440.85","12,418.12","12,453.49","12,405.31","199.50K","0.19%"
"09/26/2025","12,417.07","12,412.88","12,437.79","12,393.64","330.96K","0.05%"
"09/25/2025","12,411.34","12,411.85","12,418.38","12,376.13","557.38K","0.00%"
"09/24/2025","12,411.19","12,419.39","12,442.64","12,376.23","629.51K","-0.07%"
"09/23/2025","12,419.39","12,375.22","12,419.39","12,375.22","323.07K","0.36%"
"09/22/2025","12,375.31","12,375.06","12,403.73","12,351.15","384.68K","0.01%"
"09/19/2025","12,374.50","12,362.30","12,412.32","12,350.04","520.62K","0.10%"
"09/18/2025","12,362.30","12,344.21","12,382.43","12,293.46","792.03K","0.15%"
"09/17/2025","12,344.21","12,214.56","12,350.34","12,195.45","1.89M","1.06%"
"09/16/2025","12,214.56","12,154.13","12,214.56","12,116.58","887.88K","0.50%"
"09/15/2025","12,154.13","12,071.03","12,157.99","12,071.03","813.37K","0.67%"
"09/12/2025","12,072.79","12,019.40","12,073.18","11,992.53","632.72K","0.44%"
"09/11/2025","12,019.40","11,928.77","12,019.40","11,915.27","485.38K","0.75%"
"09/10/2025","11,929.52","11,943.68","11,950.45","11,900.21","203.39K","-0.13%"
"09/09/2025","11,944.76","11,925.04","11,977.92","11,914.50","412.58K","0.17%"
"09/08/2025","11,925.04","11,978.39","11,985.50","11,907.33","591.90K","-0.46%"
"09/05/2025","11,979.77","11,963.07","11,983.50","11,917.65","377.77K","0.14%"
"09/03/2025","11,963.07","11,871.76","11,966.05","11,871.76","284.31K","0.77%"
"09/02/2025","11,871.76","11,912.23","11,959.29","11,813.38","1.67M","-0.34%"
"09/01/2025","11,912.23","11,914.57","11,942.79","11,889.87","438.03K","-0.02%"
"08/29/2025","11,914.72","11,897.51","11,915.94","11,846.01","359.47K","0.09%"
"08/28/2025","11,904.07","11,919.89","11,919.89","11,880.26","340.75K","-0.17%"
"08/27/2025","11,924.37","11,868.67","11,924.37","11,848.48","336.06K","0.47%"
"08/26/2025","11,868.29","11,832.06","11,879.56","11,800.58","358.27K","0.31%"
"08/25/2025","11,832.06","11,820.59","11,832.64","11,789.85","333.28K","0.10%"
"08/22/2025","11,820.59","11,793.38","11,839.42","11,793.38","469.90K","0.23%"
"08/21/2025","11,793.38","11,794.28","11,796.24","11,738.26","471.04K","0.01%"
"08/20/2025","11,792.53","11,808.47","11,808.47","11,756.40","1.01M","-0.13%"
"08/19/2025","11,807.55","11,816.92","11,819.11","11,760.38","393.37K","-0.08%"
"08/18/2025","11,816.92","11,838.78","11,838.78","11,779.64","753.95K","-0.19%"
"08/15/2025","11,839.55","11,831.24","11,840.77","11,801.33","401.15K","0.00%"
"08/14/2025","11,839.11","11,831.72","11,842.75","11,791.35","956.20K","0.05%"
"08/12/2025","11,832.83","11,863.37","11,864.24","11,815.22","389.12K","-0.26%"
"08/11/2025","11,863.37","11,863.18","11,875.76","11,831.77","336.66K","-0.01%"
"08/08/2025","11,864.07","11,820.87","11,871.54","11,799.89","540.94K","0.37%"
"08/07/2025","11,820.87","11,749.39","11,822.88","11,738.28","305.73K","0.61%"
"08/06/2025","11,749.39","11,811.68","11,814.58","11,736.38","355.51K","-0.55%"
"08/05/2025","11,814.68","11,852.23","11,852.23","11,801.78","899.76K","-0.28%"
"08/04/2025","11,848.12","11,851.41","11,856.00","11,806.26","210.02K","-0.03%"
"08/01/2025","11,851.41","11,834.99","11,868.31","11,823.82","425.15K","0.14%"
"07/31/2025","11,834.99","11,863.29","11,871.27","11,827.70","429.73K","-0.25%"
"07/30/2025","11,864.55","11,848.89","11,864.55","11,829.26","520.93K","0.13%"
"07/29/2025","11,848.82","11,854.72","11,866.17","11,821.11","527.62K","-0.06%"
"07/28/2025","11,855.80","11,875.16","11,893.01","11,844.83","574.23K","-0.16%"
"07/24/2025","11,875.03","11,855.89","11,883.34","11,829.97","633.63K","0.15%"
"07/23/2025","11,857.13","11,827.91","11,865.03","11,823.85","464.96K","0.25%"
"07/22/2025","11,828.08","11,808.83","11,850.87","11,792.76","918.17K","0.17%"
"07/21/2025","11,808.09","11,796.38","11,809.98","11,756.28","1.05M","0.10%"
"07/18/2025","11,796.33","11,787.74","11,796.33","11,747.28","425.16K","0.07%"
"07/17/2025","11,787.74","11,793.07","11,825.67","11,773.97","328.99K","-0.05%"
"07/16/2025","11,793.07","11,768.69","11,813.47","11,747.59","369.24K","0.21%"
"07/15/2025","11,768.69","11,752.88","11,769.04","11,741.38","281.41K","0.13%"
"07/14/2025","11,752.88","11,746.15","11,771.03","11,701.99","783.15K","0.06%"
"07/11/2025","11,746.15","11,698.75","11,748.79","11,679.36","347.64K","0.40%"
"07/10/2025","11,699.26","11,716.81","11,730.20","11,693.64","763.88K","-0.15%"
"07/09/2025","11,716.81","11,663.57","11,729.80","11,660.36","899.01K","0.46%"
"07/08/2025","11,663.57","11,668.39","11,684.99","11,642.83","361.09K","-0.04%"
"07/07/2025","11,668.65","11,640.77","11,697.49","11,636.09","271.19K","0.22%"
"07/04/2025","11,642.55","11,585.84","11,642.55","11,569.09","495.36K","0.49%"
"07/03/2025","11,586.30","11,574.53","11,586.30","11,527.50","306.88K","0.10%"
"07/02/2025","11,574.53","11,589.67","11,593.12","11,545.84","637.71K","-0.13%"
"07/01/2025","11,589.67","11,579.11","11,600.42","11,491.30","248.12K","0.11%"
"06/30/2025","11,577.09","11,572.72","11,601.32","11,526.24","417.00K","0.02%"
"06/27/2025","11,575.02","11,525.48","11,603.78","11,518.55","502.55K","0.46%"
"06/25/2025","11,521.93","11,385.03","11,521.93","11,380.18","707.20K","1.19%"
"06/24/2025","11,386.45","11,321.59","11,386.45","11,306.13","711.49K","0.57%"
"06/23/2025","11,321.59","11,299.23","11,333.77","11,243.38","454.52K","0.21%"
"06/20/2025","11,297.63","11,196.26","11,297.63","11,196.26","377.73K","0.95%"
"06/19/2025","11,191.12","11,130.50","11,201.57","11,115.88","324.33K","0.57%"
"06/18/2025","11,127.75","11,128.34","11,147.81","11,094.49","269.09K","0.00%"
"06/17/2025","11,127.99","11,126.24","11,156.21","11,076.98","673.96K","0.02%"
"06/16/2025","11,126.24","11,241.14","11,241.14","11,099.75","857.65K","-0.99%"
"06/13/2025","11,237.61","11,306.42","11,331.47","11,217.21","449.15K","-0.76%"
